IRTT,"	ORTT","	T1","		T2","		T3","		G","		HNG","		phiL","	phiR","	UX1","		UY1","		UX2	","	UY2	","	UX3	","	UY3	","	UX4	","	UY4","		UX5","		UY5","		UX6","		UY6	","	UX7","		UY7","		UX8","		UY8","		UX9","		UY9","		UX10","		UY10","		MaxVM",Error
0.005,0.015,0.1,0.07,0.06,0.024,0.03,0.2,0.29,-0.483864,-0.027993,-0.307121,-0.002653,-0.286933,-0.001021,-0.108415,0.002363,-0.083259,0.003335,0.094989,0.013734,0.119726,0.01551,0.297631,0.030676,0.30935,0.029359,0.479446,-0.024931,72648808,0.376773
0.006,0.013,0.58,0.38,0.07,0.036,0.042,0.12,0.11,-0.488183,-0.04414,-0.325339,-0.06764,-0.283097,-0.070456,-0.118574,-0.068777,-0.081073,-0.067715,0.083281,-0.060076,0.119237,-0.058408,0.283592,-0.050792,0.31929,-0.049252,0.483691,-0.042685,1662821120,0.013689
0.007,0.028,0.76,0.52,0.16,0.032,0.028,0.22,0.22,-0.48514,-0.028621,-0.315331,-0.035464,-0.284585,-0.037357,-0.11522,-0.051401,-0.081753,-0.053257,0.088127,-0.058028,0.127833,-0.053169,0.291548,-0.007568,0.312052,-0.005986,0.480825,-0.025929,109020600,0.032882
0.002,0.017,0.07,0.04,0.09,0.048,0.033,0.15,0.2,-0.472448,-0.030098,-0.320146,-0.012895,-0.27594,-0.010365,-0.12267,-0.01008,-0.07304,-0.008738,0.080021,-0.000734,0.127761,0.001616,0.280869,0.00868,0.319765,0.005406,0.469538,-0.027149,21041512,0.257328
0.006,0.016,0.15,0.1,0.15,0.047,0.027,0.12,0.28,-0.47561,-0.026199,-0.320668,-0.021016,-0.273869,-0.019607,-0.118895,-0.015459,-0.069646,-0.011924,0.084332,0.006103,0.130521,0.011039,0.284832,0.025951,0.320873,0.022701,0.470029,-0.019569,44883504,0.241439
0.005,0.019,0.35,0.25,0.08,0.03,0.036,0.14,0.19,-0.485973,-0.03639,-0.314901,-0.040989,-0.284628,-0.041684,-0.113525,-0.044945,-0.082001,-0.044875,0.089086,-0.040858,0.124328,-0.03732,0.2928,-0.007253,0.310548,-0.007051,0.47966,-0.033276,141268256,0.085615
0.011,0.016,0.28,0.24,0.1,0.027,0.046,0.16,0.24,-0.486317,-0.045946,-0.311605,-0.04525,-0.283916,-0.044931,-0.109235,-0.041609,-0.079419,-0.040111,0.094716,-0.025914,0.124108,-0.022686,0.297174,0.001247,0.306249,0.000764,0.475801,-0.041385,173397312,0.184275
0.012,0.016,0.72,0.36,0.18,0.034,0.029,0.25,0.23,-0.485778,-0.030459,-0.318185,-0.046151,-0.283829,-0.04908,-0.115998,-0.061988,-0.078321,-0.062441,0.089772,-0.053575,0.129415,-0.047058,0.291498,-0.00164,0.312419,-0.000383,0.478774,-0.026067,1219269632,0.038737
0.002,0.01,0.34,0.34,0.03,0.032,0.026,0.27,0.25,-0.483438,-0.025646,-0.312747,-0.021931,-0.278797,-0.019859,-0.10892,-0.002791,-0.076267,0.001051,0.092932,0.02388,0.122862,0.026806,0.293278,0.037179,0.314627,0.034378,0.4766,-0.019607,498119264,0.339078
0.01,0.017,0.18,0.15,0.14,0.03,0.05,0.2,0.24,-0.479895,-0.048174,-0.308849,-0.030337,-0.283934,-0.028995,-0.111961,-0.028367,-0.078029,-0.026888,0.093346,-0.012555,0.123,-0.010149,0.294444,0.003332,0.306469,0.002162,0.472098,-0.044119,89260296,0.292216
0.011,0.026,0.42,0.32,0.07,0.029,0.028,0.1,0.17,-0.487014,-0.028733,-0.315446,-0.037895,-0.285287,-0.038868,-0.113485,-0.040781,-0.083749,-0.040719,0.088042,-0.038101,0.120867,-0.035232,0.290509,-0.008012,0.311745,-0.007484,0.482529,-0.026249,57879184,0.062698
0.016,0.025,0.68,0.49,0.16,0.028,0.03,0.15,0.19,-0.489225,-0.031303,-0.316994,-0.049473,-0.28746,-0.051778,-0.114496,-0.060543,-0.084658,-0.06113,0.088517,-0.059176,0.121984,-0.055548,0.291555,-0.020345,0.311369,-0.0189,0.484254,-0.029121,193209632,0.01944
0.004,0.01,0.66,0.52,0.09,0.033,0.023,0.19,0.18,-0.488601,-0.02591,-0.323848,-0.060653,-0.284861,-0.063319,-0.116913,-0.051326,-0.0829,-0.048014,0.084208,-0.02739,0.115544,-0.02457,0.283649,-0.015028,0.31429,-0.014835,0.482503,-0.022251,1664472960,0.042371
0.003,0.012,0.36,0.28,0.09,0.049,0.031,0.22,0.26,-0.47589,-0.031304,-0.322557,-0.033225,-0.271984,-0.032559,-0.118754,-0.026601,-0.06723,-0.022301,0.084868,-0.002779,0.133508,0.003498,0.285578,0.023231,0.320637,0.02047,0.467745,-0.022822,451904832,0.201711
0.006,0.013,0.19,0.15,0.1,0.028,0.046,0.23,0.24,-0.481035,-0.044185,-0.307863,-0.025059,-0.284981,-0.023795,-0.110756,-0.023731,-0.079279,-0.022515,0.09443,-0.009128,0.123265,-0.006608,0.296663,0.010348,0.306464,0.00941,0.4735,-0.040122,207026352,0.300978
0.013,0.023,0.7,0.48,0.02,0.044,0.036,0.28,0.23,-0.478335,-0.036203,-0.31968,-0.037674,-0.279043,-0.039893,-0.121171,-0.0557,-0.076977,-0.059882,0.081058,-0.07397,0.138316,-0.067387,0.289031,-0.017803,0.3164,-0.015019,0.474012,-0.033236,117762760,0.026006
0.004,0.013,0.45,0.43,0,0.049,0.034,0.16,0.25,-0.48049,-0.037089,-0.329165,-0.058437,-0.273841,-0.060807,-0.121245,-0.052483,-0.072141,-0.04967,0.080408,-0.040517,0.133357,-0.033819,0.283379,-0.004698,0.319497,-0.004233,0.470219,-0.029484,278453888,0.063719
0.011,0.028,0.85,0.79,0.12,0.048,0.041,0.17,0.16,-0.480991,-0.043539,-0.32896,-0.061553,-0.277132,-0.065136,-0.124069,-0.068215,-0.074397,-0.068195,0.078664,-0.064991,0.133007,-0.059319,0.28343,-0.030848,0.320495,-0.028661,0.473223,-0.039243,150224704,0.021497
0.004,0.018,0.28,0.2,0.13,0.036,0.029,0.2,0.27,-0.480364,-0.027918,-0.314335,-0.018365,-0.280348,-0.017574,-0.114055,-0.01939,-0.076051,-0.01847,0.08996,-0.00861,0.128884,-0.004106,0.292759,0.024209,0.314853,0.023008,0.474693,-0.022904,83544488,0.209156
0.006,0.013,0.33,0.19,0.08,0.023,0.047,0.24,0.25,-0.48568,-0.046219,-0.306589,-0.035373,-0.286057,-0.034666,-0.106644,-0.033163,-0.079846,-0.03184,0.098842,-0.015659,0.123845,-0.012812,0.301596,0.011601,0.303713,0.011428,0.475143,-0.041514,649931392,0.260431
0.012,0.017,0.72,0.39,0.1,0.037,0.023,0.19,0.22,-0.48522,-0.02555,-0.322438,-0.050641,-0.283716,-0.054904,-0.119374,-0.065823,-0.08068,-0.06693,0.084017,-0.06542,0.125692,-0.060261,0.285784,-0.021557,0.316269,-0.018318,0.480919,-0.02252,973137664,0.01167
0.006,0.024,0.24,0.12,0.11,0.044,0.036,0.21,0.14,-0.474021,-0.033243,-0.317746,-0.015225,-0.280578,-0.014389,-0.123651,-0.025358,-0.078132,-0.027536,0.079126,-0.031601,0.12894,-0.028691,0.284655,-0.006341,0.317233,-0.006654,0.47249,-0.031987,15742519,0.148284
0.006,0.019,0.86,0.78,0.16,0.047,0.044,0.11,0.29,-0.489433,-0.04875,-0.34021,-0.091192,-0.280173,-0.098233,-0.125179,-0.091467,-0.07545,-0.08765,0.078762,-0.070687,0.126135,-0.065092,0.280055,-0.045664,0.321157,-0.043175,0.476297,-0.043891,691870464,0.030346
0.007,0.019,0.1,0.09,0.15,0.036,0.044,0.12,0.16,-0.479,-0.04265,-0.314582,-0.03125,-0.28136,-0.029982,-0.116552,-0.028826,-0.077322,-0.02708,0.086938,-0.013595,0.119762,-0.012069,0.284565,-0.010249,0.312381,-0.012463,0.474821,-0.040324,15157193,0.221357
0.009,0.019,0.02,0.02,0.05,0.024,0.045,0.11,0.18,-0.483603,-0.04359,-0.307548,-0.02607,-0.28709,-0.024832,-0.110207,-0.020993,-0.085109,-0.020138,0.091624,-0.01192,0.114177,-0.011231,0.291083,-0.008644,0.306043,-0.009906,0.480019,-0.042069,10606082,0.267002
0.004,0.022,0.47,0.27,0.09,0.048,0.045,0.23,0.12,-0.474698,-0.044281,-0.321334,-0.039809,-0.280055,-0.041615,-0.127668,-0.059467,-0.078089,-0.06426,0.074896,-0.075936,0.135457,-0.071601,0.285219,-0.038256,0.320398,-0.035347,0.473603,-0.043637,63367528,0.029228
