IRTT,"	ORTT","	T1","		T2","	G","		HNG	","	phiL","	phiR","	UX1","		UY1	","	UX2	","	UY2	","	UX3	","	UY3	","	UX4	","	UY4	","	UX5","		UY5","		UX6	","	UY6","		UX7","		UY7","		UX8","		UY8",MaxVM,Error
0.01,0.03,0.53,0.33,0.03,0.03,0.2,0.2,-0.479339,-0.026422,-0.261258,0.017785,-0.237517,0.020167,-0.015,0.020167,0.015,0.020167,0.237517,0.020167,0.261258,0.017785,0.479339,-0.026422,57680084,0.146409
0.011,0.024,0.09,0.06,0.03,0.03,0.2,0.2,-0.479339,-0.026422,-0.261258,0.017785,-0.237517,0.020167,-0.015,0.020167,0.015,0.020167,0.237517,0.020167,0.261258,0.017785,0.479339,-0.026422,23594428,0.387771
0.02,0.027,0.03,0.02,0.03,0.03,0.2,0.2,-0.479339,-0.026422,-0.261258,0.017785,-0.237517,0.020167,-0.015,0.020167,0.015,0.020167,0.237517,0.020167,0.261258,0.017785,0.479339,-0.026422,10217306,0.429966
0.009,0.02,0.49,0.31,0.03,0.03,0.2,0.2,-0.479339,-0.026422,-0.261258,0.017785,-0.237517,0.020167,-0.015,0.020167,0.015,0.020167,0.237517,0.020167,0.261258,0.017785,0.479339,-0.026422,147802496,0.078081
0.01,0.02,0.45,0.36,0.03,0.03,0.2,0.2,-0.479339,-0.026422,-0.261258,0.017785,-0.237517,0.020167,-0.015,0.020167,0.015,0.020167,0.237517,0.020167,0.261258,0.017785,0.479339,-0.026422,102429616,0.122798
0.013,0.025,0.66,0.38,0.03,0.03,0.2,0.2,-0.479339,-0.026422,-0.261258,0.017785,-0.237517,0.020167,-0.015,0.020167,0.015,0.020167,0.237517,0.020167,0.261258,0.017785,0.479339,-0.026422,140225024,0.045611
0.002,0.015,0.71,0.44,0.03,0.03,0.2,0.2,-0.479339,-0.026422,-0.261258,0.017785,-0.237517,0.020167,-0.015,0.020167,0.015,0.020167,0.237517,0.020167,0.261258,0.017785,0.479339,-0.026422,938815616,0.022265
0.005,0.013,0.7,0.52,0.03,0.03,0.2,0.2,-0.479339,-0.026422,-0.261258,0.017785,-0.237517,0.020167,-0.015,0.020167,0.015,0.020167,0.237517,0.020167,0.261258,0.017785,0.479339,-0.026422,1332800256,0.042694
0.01,0.018,0.46,0.39,0.03,0.03,0.2,0.2,-0.479339,-0.026422,-0.261258,0.017785,-0.237517,0.020167,-0.015,0.020167,0.015,0.020167,0.237517,0.020167,0.261258,0.017785,0.479339,-0.026422,230889712,0.116562
0.008,0.015,0.77,0.69,0.03,0.03,0.2,0.2,-0.479339,-0.026422,-0.261258,0.017785,-0.237517,0.020167,-0.015,0.020167,0.015,0.020167,0.237517,0.020167,0.261258,0.017785,0.479339,-0.026422,1095447552,0.031285
0.008,0.028,0.17,0.12,0.03,0.03,0.2,0.2,-0.479339,-0.026422,-0.261258,0.017785,-0.237517,0.020167,-0.015,0.020167,0.015,0.020167,0.237517,0.020167,0.261258,0.017785,0.479339,-0.026422,19381072,0.348829
0.012,0.022,0.48,0.4,0.03,0.03,0.2,0.2,-0.479339,-0.026422,-0.261258,0.017785,-0.237517,0.020167,-0.015,0.020167,0.015,0.020167,0.237517,0.020167,0.261258,0.017785,0.479339,-0.026422,63443832,0.129506
0.015,0.024,0.57,0.41,0.03,0.03,0.2,0.2,-0.479339,-0.026422,-0.261258,0.017785,-0.237517,0.020167,-0.015,0.020167,0.015,0.020167,0.237517,0.020167,0.261258,0.017785,0.479339,-0.026422,87948352,0.088747
0.01,0.014,0.43,0.22,0.03,0.03,0.2,0.2,-0.479339,-0.026422,-0.261258,0.017785,-0.237517,0.020167,-0.015,0.020167,0.015,0.020167,0.237517,0.020167,0.261258,0.017785,0.479339,-0.026422,966242560,0.139469
0.014,0.026,0.91,0.79,0.03,0.03,0.2,0.2,-0.479339,-0.026422,-0.261258,0.017785,-0.237517,0.020167,-0.015,0.020167,0.015,0.020167,0.237517,0.020167,0.261258,0.017785,0.479339,-0.026422,165235616,0.028339
0.007,0.012,0.09,0.08,0.03,0.03,0.2,0.2,-0.479339,-0.026422,-0.261258,0.017785,-0.237517,0.020167,-0.015,0.020167,0.015,0.020167,0.237517,0.020167,0.261258,0.017785,0.479339,-0.026422,166751456,0.38776
0.012,0.019,0.12,0.07,0.03,0.03,0.2,0.2,-0.479339,-0.026422,-0.261258,0.017785,-0.237517,0.020167,-0.015,0.020167,0.015,0.020167,0.237517,0.020167,0.261258,0.017785,0.479339,-0.026422,69297896,0.344559
0.008,0.024,0.23,0.2,0.03,0.03,0.2,0.2,-0.479339,-0.026422,-0.261258,0.017785,-0.237517,0.020167,-0.015,0.020167,0.015,0.020167,0.237517,0.020167,0.261258,0.017785,0.479339,-0.026422,36047392,0.30769
0.002,0.016,0.02,0.02,0.03,0.03,0.2,0.2,-0.479339,-0.026422,-0.261258,0.017785,-0.237517,0.020167,-0.015,0.020167,0.015,0.020167,0.237517,0.020167,0.261258,0.017785,0.479339,-0.026422,18158342,0.435559
