IRTT,"	ORTT","	T1","		T2","		T3","		G","		HNG","		phiL","	phiR","	X1","		Y1","		X2","		Y2","		X3","		Y3","		X4","		Y4","		X5","		Y5","		X6","		Y6","		X7","		Y7","		X8","		Y8","		X9","		Y9","		X10","		Y10","		MaxVM", Error
0.016,0.026,0.55,0.35,0.15,0.03,0.03,0.2,0.2,-0.479339,-0.026422,-0.311152,0.007671,-0.287411,0.010053,-0.115804,0.010053,-0.085804,0.010053,0.085804,0.010053,0.115804,0.010053,0.287411,0.010053,0.311152,0.007671,0.479339,-0.026422,78767520,0.073135
0.007,0.019,0.73,0.4,0.16,0.03,0.03,0.2,0.2,-0.479339,-0.026422,-0.311152,0.007671,-0.287411,0.010053,-0.115804,0.010053,-0.085804,0.010053,0.085804,0.010053,0.115804,0.010053,0.287411,0.010053,0.311152,0.007671,0.479339,-0.026422,600935040,0.00877
0.003,0.011,0.54,0.46,0.06,0.03,0.03,0.2,0.2,-0.479339,-0.026422,-0.311152,0.007671,-0.287411,0.010053,-0.115804,0.010053,-0.085804,0.010053,0.085804,0.010053,0.115804,0.010053,0.287411,0.010053,0.311152,0.007671,0.479339,-0.026422,725269824,0.09642
0.004,0.023,0.13,0.08,0.05,0.03,0.03,0.2,0.2,-0.479339,-0.026422,-0.311152,0.007671,-0.287411,0.010053,-0.115804,0.010053,-0.085804,0.010053,0.085804,0.010053,0.115804,0.010053,0.287411,0.010053,0.311152,0.007671,0.479339,-0.026422,27955058,0.275563
0.012,0.025,0.76,0.6,0.19,0.03,0.03,0.2,0.2,-0.479339,-0.026422,-0.311152,0.007671,-0.287411,0.010053,-0.115804,0.010053,-0.085804,0.010053,0.085804,0.010053,0.115804,0.010053,0.287411,0.010053,0.311152,0.007671,0.479339,-0.026422,140746192,0.041029
0.015,0.028,0.21,0.14,0.07,0.03,0.03,0.2,0.2,-0.479339,-0.026422,-0.311152,0.007671,-0.287411,0.010053,-0.115804,0.010053,-0.085804,0.010053,0.085804,0.010053,0.115804,0.010053,0.287411,0.010053,0.311152,0.007671,0.479339,-0.026422,28227060,0.243164
0.005,0.023,0.58,0.45,0.13,0.03,0.03,0.2,0.2,-0.479339,-0.026422,-0.311152,0.007671,-0.287411,0.010053,-0.115804,0.010053,-0.085804,0.010053,0.085804,0.010053,0.115804,0.010053,0.287411,0.010053,0.311152,0.007671,0.479339,-0.026422,89884904,0.059414
0.01,0.024,0.13,0.09,0.18,0.03,0.03,0.2,0.2,-0.479339,-0.026422,-0.311152,0.007671,-0.287411,0.010053,-0.115804,0.010053,-0.085804,0.010053,0.085804,0.010053,0.115804,0.010053,0.287411,0.010053,0.311152,0.007671,0.479339,-0.026422,15688385,0.310292
0.007,0.029,0.7,0.43,0.18,0.03,0.03,0.2,0.2,-0.479339,-0.026422,-0.311152,0.007671,-0.287411,0.010053,-0.115804,0.010053,-0.085804,0.010053,0.085804,0.010053,0.115804,0.010053,0.287411,0.010053,0.311152,0.007671,0.479339,-0.026422,101913536,0.035417
0.009,0.014,0.03,0.02,0.09,0.03,0.03,0.2,0.2,-0.479339,-0.026422,-0.311152,0.007671,-0.287411,0.010053,-0.115804,0.010053,-0.085804,0.010053,0.085804,0.010053,0.115804,0.010053,0.287411,0.010053,0.311152,0.007671,0.479339,-0.026422,28034558,0.348891
