IRTT,	ORTT,	T1,		T2,	G,		HNG	,	phiL,	phiR,	UX1,		UY1	,	UX2	,	UY2	,	UX3	,	UY3	,	UX4	,	UY4	,	UX5,		UY5,		UX6	,	UY6,		UX7,		UY7,		UX8,		UY8,MaxVM,Error
  0.006000,  0.018000,  0.330000,  0.210000,  0.030000,  0.030000,  0.200000,  0.200000, -0.484012, -0.029485, -0.261618, -0.022094, -0.234112, -0.022312, -0.011863, -0.033225,  0.025342, -0.030348,  0.243270,  0.014609,  0.261051,  0.014752,  0.479676, -0.026682,132394624.000000,  0.161856
  0.006000,  0.022000,  0.580000,  0.440000,  0.030000,  0.030000,  0.200000,  0.200000, -0.486454, -0.030684, -0.264192, -0.041337, -0.234449, -0.042871, -0.012270, -0.055133,  0.026021, -0.051614,  0.242243,  0.000940,  0.260604,  0.001903,  0.481138, -0.027735,96883536.000000,  0.074181
  0.009000,  0.017000,  0.070000,  0.040000,  0.030000,  0.030000,  0.200000,  0.200000, -0.480288, -0.027138, -0.260777,  0.009311, -0.236237,  0.011194, -0.013735,  0.008654,  0.018551,  0.009535,  0.240584,  0.024202,  0.261663,  0.022575,  0.478813, -0.026002,61590976.000000,  0.386296
  0.012000,  0.018000,  0.530000,  0.300000,  0.030000,  0.030000,  0.200000,  0.200000, -0.486681, -0.030783, -0.264504, -0.043080, -0.235297, -0.045050, -0.013483, -0.062711,  0.025642, -0.059495,  0.241594, -0.005846,  0.260639, -0.004541,  0.481891, -0.028232,462975712.000000,  0.053414
  0.003000,  0.012000,  0.060000,  0.030000,  0.030000,  0.030000,  0.200000,  0.200000, -0.480242, -0.027104, -0.260794,  0.009721, -0.236139,  0.011704, -0.013626,  0.010418,  0.018302,  0.011274,  0.240426,  0.024487,  0.261681,  0.022768,  0.478792, -0.025985,116671144.000000,  0.395438
  0.009000,  0.013000,  0.620000,  0.320000,  0.030000,  0.030000,  0.200000,  0.200000, -0.488080, -0.031351, -0.266682, -0.053636, -0.233539, -0.055181, -0.011028, -0.053592,  0.025154, -0.049316,  0.241905,  0.001008,  0.260604,  0.001893,  0.481139, -0.027736,1666497408.000000,  0.071440
  0.005000,  0.025000,  0.810000,  0.710000,  0.030000,  0.030000,  0.200000,  0.200000, -0.488200, -0.031397, -0.266889, -0.054531, -0.234831, -0.056723, -0.012431, -0.063929,  0.025242, -0.059998,  0.241364, -0.007033,  0.260664, -0.005695,  0.482027, -0.028319,141025360.000000,  0.047522
  0.008000,  0.018000,  0.400000,  0.310000,  0.030000,  0.030000,  0.200000,  0.200000, -0.485073, -0.030037, -0.262557, -0.030580, -0.233428, -0.031071, -0.011019, -0.038015,  0.025970, -0.034603,  0.243354,  0.012912,  0.260961,  0.013214,  0.479848, -0.026812,173748016.000000,  0.136629
  0.007000,  0.014000,  0.170000,  0.140000,  0.030000,  0.030000,  0.200000,  0.200000, -0.482150, -0.028397, -0.260691, -0.006726, -0.233756, -0.005444, -0.011240, -0.005982,  0.022681, -0.003762,  0.243230,  0.025769,  0.261891,  0.024867,  0.478563, -0.025797,162173728.000000,  0.298182
  0.003000,  0.021000,  0.490000,  0.410000,  0.030000,  0.030000,  0.200000,  0.200000, -0.485684, -0.030332, -0.263225, -0.035378, -0.233488, -0.036177, -0.011079, -0.043096,  0.026127, -0.039503,  0.243101,  0.009851,  0.260819,  0.010337,  0.480172, -0.027053,77015376.000000,  0.115126
