IRTT,	ORTT,	T1,		T2,		T3,		G,		HNG,		phiL,	phiR,	X1,		Y1,		X2,		Y2,		X3,		Y3,		X4,		Y4,		X5,		Y5,		X6,		Y6,		X7,		Y7,		X8,		Y8,		X9,		Y9,		X10,		Y10,		MaxVM, Error
  0.009000,  0.029000,  0.250000,  0.130000,  0.100000,  0.030000,  0.030000,  0.200000,  0.200000, -0.481567, -0.028022, -0.311157, -0.007786, -0.285959, -0.006779, -0.114477, -0.013351, -0.083489, -0.014021,  0.088117, -0.014873,  0.122239, -0.012607,  0.292224,  0.010931,  0.311272,  0.010209,  0.478986, -0.026142,26232854.000000,  0.209542
  0.003000,  0.022000,  0.940000,  0.550000,  0.070000,  0.030000,  0.030000,  0.200000,  0.200000, -0.489784, -0.031947, -0.320212, -0.058298, -0.288499, -0.062167, -0.117566, -0.077366, -0.086412, -0.079492,  0.085001, -0.087655,  0.121763, -0.085063,  0.290336, -0.052933,  0.317448, -0.048960,  0.488152, -0.031379,868438656.000000,  0.012625
  0.006000,  0.026000,  0.300000,  0.210000,  0.010000,  0.030000,  0.030000,  0.200000,  0.200000, -0.482330, -0.028509, -0.311436, -0.012879, -0.285159, -0.012084, -0.113633, -0.017357, -0.083522, -0.018221,  0.088024, -0.022790,  0.123653, -0.020248,  0.292813,  0.008633,  0.311180,  0.008318,  0.479249, -0.026351,38002860.000000,  0.173193
  0.007000,  0.023000,  0.410000,  0.250000,  0.000000,  0.030000,  0.030000,  0.200000,  0.200000, -0.484029, -0.029495, -0.312513, -0.023894, -0.285331, -0.024268, -0.114033, -0.034584, -0.084042, -0.036368,  0.087271, -0.046429,  0.125403, -0.043188,  0.292560, -0.004359,  0.311030, -0.003549,  0.480943, -0.027601,73648864.000000,  0.076684
  0.010000,  0.021000,  0.200000,  0.180000,  0.170000,  0.030000,  0.030000,  0.200000,  0.200000, -0.481794, -0.028170, -0.311226, -0.009311, -0.284821, -0.007948, -0.113218, -0.009134, -0.080918, -0.008098,  0.090256,  0.004088,  0.120022,  0.006125,  0.291260,  0.017373,  0.311639,  0.015572,  0.478251, -0.025534,35431152.000000,  0.278742
  0.014000,  0.026000,  0.410000,  0.220000,  0.020000,  0.030000,  0.030000,  0.200000,  0.200000, -0.483535, -0.029222, -0.312137, -0.020737, -0.285700, -0.020977, -0.114484, -0.032568, -0.084300, -0.034488,  0.087005, -0.044679,  0.124984, -0.041594,  0.292399, -0.003892,  0.311023, -0.003158,  0.480886, -0.027562,48460996.000000,  0.084819
  0.006000,  0.013000,  0.280000,  0.280000,  0.070000,  0.030000,  0.030000,  0.200000,  0.200000, -0.484638, -0.029816, -0.313043, -0.027742, -0.282697, -0.027197, -0.111138, -0.023107, -0.079573, -0.021503,  0.091517, -0.008176,  0.122757, -0.005003,  0.293031,  0.016341,  0.311614,  0.015266,  0.478292, -0.025569,190869040.000000,  0.194106
  0.014000,  0.019000,  0.350000,  0.260000,  0.160000,  0.030000,  0.030000,  0.200000,  0.200000, -0.483956, -0.029455, -0.312454, -0.023427, -0.284259, -0.023278, -0.112703, -0.027496, -0.080195, -0.026918,  0.091103, -0.016606,  0.123689, -0.013109,  0.293273,  0.013165,  0.311411,  0.012512,  0.478668, -0.025883,222388288.000000,  0.165367
  0.006000,  0.013000,  0.680000,  0.580000,  0.130000,  0.030000,  0.030000,  0.200000,  0.200000, -0.491216, -0.032370, -0.322984, -0.066241, -0.286125, -0.069142, -0.114666, -0.062014, -0.081981, -0.059096,  0.088029, -0.035737,  0.116997, -0.032154,  0.287575, -0.013386,  0.311454, -0.013149,  0.482371, -0.028534,1043543424.000000,  0.048739
  0.011000,  0.019000,  0.460000,  0.250000,  0.140000,  0.030000,  0.030000,  0.200000,  0.200000, -0.485447, -0.030219, -0.313858, -0.032765, -0.285696, -0.034026, -0.114567, -0.046836, -0.082332, -0.048020,  0.089275, -0.047805,  0.125740, -0.043529,  0.292740, -0.004034,  0.311024, -0.003212,  0.480894, -0.027567,317733440.000000,  0.057335
  0.002000,  0.014000,  0.120000,  0.110000,  0.080000,  0.030000,  0.030000,  0.200000,  0.200000, -0.481363, -0.027887, -0.311105, -0.006409, -0.284920, -0.004739, -0.113313, -0.004409, -0.081698, -0.003484,  0.089635,  0.006223,  0.119541,  0.007893,  0.290889,  0.017329,  0.311625,  0.015396,  0.478275, -0.025554,69661456.000000,  0.300317
  0.006000,  0.022000,  0.240000,  0.230000,  0.170000,  0.030000,  0.030000,  0.200000,  0.200000, -0.482161, -0.028404, -0.311363, -0.011761, -0.284412, -0.010482, -0.112805, -0.010879, -0.080622, -0.009760,  0.090543,  0.002554,  0.120575,  0.004772,  0.291692,  0.017735,  0.311679,  0.016044,  0.478187, -0.025479,31603336.000000,  0.267597
  0.011000,  0.018000,  0.380000,  0.340000,  0.140000,  0.030000,  0.030000,  0.200000,  0.200000, -0.484873, -0.029936, -0.313267, -0.029209, -0.283747, -0.029320, -0.112151, -0.031329, -0.079902, -0.030479,  0.091350, -0.019440,  0.124070, -0.015697,  0.293391,  0.012220,  0.311359,  0.011700,  0.478780, -0.025975,120208208.000000,  0.146678
  0.003000,  0.028000,  0.960000,  0.920000,  0.000000,  0.030000,  0.030000,  0.200000,  0.200000, -0.488882, -0.031645, -0.318630, -0.053172, -0.285394, -0.055492, -0.113803, -0.057824, -0.083804, -0.058232,  0.087787, -0.060558,  0.124853, -0.056373,  0.291607, -0.015846,  0.311538, -0.014301,  0.482545, -0.028642,178521936.000000,  0.022405
  0.007000,  0.017000,  0.200000,  0.160000,  0.190000,  0.030000,  0.030000,  0.200000,  0.200000, -0.482326, -0.028507, -0.311434, -0.012853, -0.284750, -0.011863, -0.113168, -0.014809, -0.080013, -0.013598,  0.090896,  0.001863,  0.120309,  0.004283,  0.291447,  0.016967,  0.311616,  0.015286,  0.478290, -0.025567,62101560.000000,  0.253971
  0.009000,  0.018000,  0.750000,  0.520000,  0.010000,  0.030000,  0.030000,  0.200000,  0.200000, -0.489590, -0.031885, -0.319859, -0.057199, -0.286919, -0.060365, -0.115474, -0.067838, -0.084958, -0.068895,  0.086593, -0.073303,  0.123935, -0.069379,  0.290821, -0.029399,  0.312930, -0.026969,  0.484515, -0.029753,816110080.000000,  0.009043
  0.018000,  0.028000,  0.560000,  0.330000,  0.100000,  0.030000,  0.030000,  0.200000,  0.200000, -0.484735, -0.029866, -0.313135, -0.028350, -0.285730, -0.029274, -0.114621, -0.042349, -0.083634, -0.044174,  0.087826, -0.051282,  0.125690, -0.047560,  0.292485, -0.007204,  0.311097, -0.006174,  0.481329, -0.027864,77540824.000000,  0.056334
  0.015000,  0.027000,  0.800000,  0.550000,  0.180000,  0.030000,  0.030000,  0.200000,  0.200000, -0.487591, -0.031161, -0.316598, -0.045675, -0.286593, -0.048168, -0.115549, -0.062063, -0.083579, -0.063577,  0.088013, -0.065910,  0.125334, -0.061509,  0.291676, -0.019326,  0.311808, -0.017492,  0.483033, -0.028933,168080336.000000,  0.016840
  0.006000,  0.018000,  0.090000,  0.070000,  0.050000,  0.030000,  0.030000,  0.200000,  0.200000, -0.480551, -0.027327, -0.310998, -0.000853, -0.286006,  0.001003, -0.114402, -0.000137, -0.083591,  0.000077,  0.087980,  0.003593,  0.119085,  0.004819,  0.290401,  0.014820,  0.311446,  0.013026,  0.478598, -0.025825,41232564.000000,  0.307040
